q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J,No_dominada
0.75,0.875,0.32,435838.7620807357,1261296407.4759398,1.92,0.0003063358327943025,758558319.4106042,232444.80067128636,758790764.2112756,0.16506080839674966,0.12612964074759397,1.2452536059449593e-05,0.002285714285714286,0.1284278075693677,True
0.75,0.875,0.41,451529.7718188146,1183694020.345496,2.46,0.0003446001438282346,724570675.8743694,249773.23101135984,724820449.1053808,0.1893959879830388,0.1183694020345496,1.2900850623394704e-05,0.0029285714285714284,0.12131087431374443,True
0.75,0.875,0.5,469521.8261526264,1097601803.5849228,3.0,0.00039537493829948974,683847933.8567939,270483.27696380403,684118417.1337577,0.20814841695803019,0.10976018035849228,1.341490931864647e-05,0.0035714285714285718,0.1133450238392395,True
0.75,1.0625,0.05,407238.4923204054,1408787282.38999,0.26249999999999996,0.0002486768608900601,814928157.7881985,202704.1839698477,815130861.9721683,0.03632204275732717,0.140878728238999,1.1635385494868726e-05,0.00031249999999999995,0.14120286362449386,True
0.75,1.0625,0.14,411657.05320342287,1385426473.4043248,0.7350000000000001,0.0002570579121306439,805636520.4986608,207148.49105419384,805843668.989715,0.08876117441936411,0.13854264734043248,1.1761630091526368e-05,0.0008750000000000001,0.139429408970524,True
0.75,1.0625,0.22999999999999998,419232.80206264573,1345876558.1953278,1.2075,0.00027227639455141287,789021933.6399447,214890.5569395349,789236824.1968842,0.12997004766677486,0.13458765581953278,1.1978080058932737e-05,0.0014375000000000002,0.1360371338995917,False
0.75,1.0625,0.32,429210.50788395497,1294806790.9521494,1.6800000000000002,0.0002938998091421277,766392555.9787288,225308.8441563914,766617864.8228852,0.160644542589745,0.12948067909521493,1.2263157368113e-05,0.0020000000000000005,0.13149294225258304,True
0.75,1.0625,0.41,441065.50008664315,1235608512.5600388,2.1525,0.0003219462335209553,739041547.0228906,238008.26834506015,739279555.2912357,0.1845438848189038,0.12356085125600387,1.2601871431046947e-05,0.0025625,0.12613595312743492,True
0.75,1.0625,0.5,454447.9817129331,1170592667.2620175,2.625,0.000356681516174421,708421326.455278,252770.951536602,708674097.4068147,0.2025646489831602,0.11705926672620173,1.2984228048940945e-05,0.003125,0.12019725095425067,True
0.75,1.25,0.05,406968.2996912281,1410327479.6467726,0.22499999999999998,0.0002480648932291874,815774551.642584,202415.2391669977,815976966.881751,0.03486771193638829,0.14103274796467724,1.162766570546366e-05,0.00026785714285714287,0.14131223277323987,True
