Escenario,t,S,R,A
Baja intensidad,6.506666666666667,663376554.4270239,195941.565498151,0.05368498461967528
Baja intensidad,6.510000000000001,664244773.5563589,196150.08666821793,0.05315081009753754
Baja intensidad,6.513333333333334,665112292.856142,196358.29175368432,0.052621950700701664
Baja intensidad,6.5166666666666675,665979099.1690376,196566.17968228064,0.05209835354278911
Baja intensidad,6.5200000000000005,666845179.5152298,196773.74939333255,0.05157996626364761
Baja intensidad,6.523333333333333,667710521.089963,196980.9998376953,0.05106673702411516
Baja intensidad,6.526666666666667,668575111.2611217,197187.92997768742,0.05055861450083806
Baja intensidad,6.53,669438937.5668589,197394.53878702642,0.050055547881144746
Baja intensidad,6.533333333333334,670301987.7132341,197600.82525076388,0.04955748685795398
Baja intensidad,6.536666666666667,671164249.571914,197806.78836522173,0.049064381624747654
Baja intensidad,6.54,672025711.1779051,198012.42713792992,0.04857618287058855
Baja intensidad,6.543333333333334,672886360.7273408,198217.74058756392,0.04809284177519618
Baja intensidad,6.546666666666667,673746186.5752797,198422.72774388336,0.047614310004060446
Baja intensidad,6.550000000000001,674605177.2335483,198627.3876476709,0.047140539703604815
Baja intensidad,6.553333333333334,675463321.3686204,198831.71935067195,0.04667148349640287
Baja intensidad,6.5566666666666675,676320607.7995425,199035.72191553528,0.04620709447644104
Baja intensidad,6.5600000000000005,677177025.4958915,199239.39441575407,0.04574732620443415
Baja intensidad,6.5633333333333335,678032563.5757447,199442.7359356073,0.045292132703171936
Baja intensidad,6.566666666666667,678887211.3037032,199645.74557010198,0.04484146845292393
Baja intensidad,6.57,679740958.0889401,199848.4224249156,0.04439528838688717
Baja intensidad,6.573333333333334,680593793.4832996,200050.76561634024,0.043953547886684756
Baja intensidad,6.576666666666667,681445707.1794033,200252.77427122585,0.04351620277790054
Baja intensidad,6.58,682296689.0087918,200454.4475269247,0.04308320932565877
Baja intensidad,6.583333333333334,683146728.9401054,200655.78453123642,0.04265452423025158
Baja intensidad,6.586666666666667,683995817.0772922,200856.78444235335,0.04223010462281086
Baja intensidad,6.590000000000001,684843943.6578579,201057.4464288068,0.04180990806102521
Baja intensidad,6.593333333333334,685691099.0511142,201257.76966941333,0.04139389252488871
Baja intensidad,6.596666666666667,686537273.7564784,201457.75335322143,0.040982016412500114
Baja intensidad,6.6000000000000005,687382458.4017959,201657.39667945937,0.040574238535902474
Baja intensidad,6.6033333333333335,688226643.7416996,201856.69885748284,0.04017051811697011
Baja intensidad,6.606666666666667,689069820.6559834,202055.65910672353,0.039770814783326114
Baja intensidad,6.61,689911980.1479989,202254.2766566374,0.03937508856430393
Baja intensidad,6.613333333333334,690753113.3430893,202452.55074665445,0.03898329988695017
